Company,Title,Description,Costs,Currency,Duration,Language,Location,Link,Description,Recommendation
BlackHat LV,Car Hacking Hands On ,,,,,,,,,
CERTX,ISO-21434 Cybersecurity Red Belt Certification,"CertX’s Cyber Security team developped this program to provide complete cyber security training course based upon the ISO21434 standard for Road Vehicle Cyber Security. During the two-day training program you will become familiar with relevant cyber security terminology and activities, you get an excellent understanding of the ISO21434 Standard and you will learn to apply your new knowledge and skills within the practice of your own organization. The thirth day, a final exam can consolidate and validate your new skills.

Our course is structured based on a top-down approach allowing trainees to book one or multiple days tailored to their needs. However, the exam given the fifth day requires that all training days (1-to-2) have been followed by the trainee.",,,2.5 days,,,https://certx.com/iso21434-automotive-cybersecurity-red-belt-certifications/,,
Coventry University,Automotive Cyber Security: An Introduction,Discover automotive cyber security and explore how cyber attacks and car hacking can expose security flaws in vehicles.,Free,,2 weeeks/3 hours per week,,,https://www.futurelearn.com/courses/basics-of-automotive-cyber-security,,
Coventry University,Cyber Security in the Software Development Life Cycle,Learn how to safeguard your software systems and help prevent cyber crime,Free,,3 weeeks/3 hours per week,,,https://www.futurelearn.com/courses/cyber-security-in-the-software-development-life-cycle,,
Cyres Consulting,Automotive Cybersecurity Virtual Live Training,"Learn about the impact of cybersecurity in the automotive industry and start applying cybersecurity in your role, project and organization: with our Virtual Live Training",600,EUR,1 Day,,Virtual / Online,https://www.cyres-consulting.com/academy/virtual-live-training/,,
Escrypt,ISO21434 – From security engineering to management,"Learn the building blocks of ISO/SAE DIS 21434 compliant security engineering.
Get an overview how ISO/SAE DIS 21434 helps you to meet the requirements of the UN regulation 155.
Understand the risk-based approach of ISO/SAE DIS 21434 to product security.
Learn from our firsthand expertise for the ISO/SAE DIS 21434 through dedicated case studies.
Get to know more about security engineering during the concept phase (incl. cybersecurity relevance assessment, goals & concept).
Find out about the importance of security engineering in the development phase (incl. cybersecurity DIA, design, implementation and V&V).
Benefit from our knowledge about cybersecurity in production, operations, maintenance and decommissioning.",,,2 Days,,,https://www.escrypt.com/en/services/trainings,,
Escrypt,Secure product design,"Get to know different aspects of security (e.g., theory vs. practice, challenges, …)
Learn and understand security basics (e.g., basic terminology)
Find out how to set up a secure software development lifecycle
Establish fundamental knowledge about cryptographic tools, algorithms, and protocols
Understand important aspects of access control (authentication and authorization)
Learn to apply main security principles
Comprehend secure coding techniques",,,2 Days,,,https://www.escrypt.com/en/services/trainings,,
Escrypt,"Secure connected products
","Understand distinct security aspects regarding connectivity
Understand important aspects of advanced access control
Establish an overview knowledge of secure protocol configurations and pitfalls
Learn the basics about protocols for the internet of things
Comprehend the threats to interfaces and how to alleviate them
Find out the basics about web services and possible vulnerabilities",,,1 Day,,,https://www.escrypt.com/en/services/trainings,,
Escrypt,Automotive security,"Get to know current aspects of automotive security
Discover a holistic view on automotive security
Understand the challenges and possibilities to develop secure ECUs
Understand the challenges and possibilities of secure networking
Understand the challenges and possibilities of secure connected vehicles
Learn how to apply the theories from the learning sections in real-world use cases
Learn about the most important automotive security standards",,,2 Days,,,https://www.escrypt.com/en/services/trainings,,
exida,Automotive Cybersecurity,"This 1.5 day course is designed to give an overview of automotive cybersecurity providing an introduction to the relationship between cybersecurity & functional safety, automotive cybersecurity standards, management, process and planning aspects, TARA (Threat Analysis and Risk Assessment), as well as understanding cybersecurity goals and threats. Cybersecurity principles and the analysis of cybersecurity threats and risks in a road vehicle context will also be discussed.",,,1.5 days,,,https://www.exida.com/Training/Course/automotive-cybersecurity,,
Fraunhofer SIT,,"In addition to an efficient, systematic approach from requirement analysis to final assessment, you will also learn the latest practical techniques for analyzing security-relevant software, hardware components and protocols in modern vehicles.
TARGET GROUP	
– Developers in the automotive industry, who plan or execute IT security analyses
– Security experts from the IT field, who carry out practical tests on vehicle electronics",900€,EUR,1.5 Days,,,https://www.academy.fraunhofer.de/en/continuing-education/information-communication/cybersecurity/practical-automotive-security-testing.html,,
Grimm,Security Training,,,,,,,Link,,
HORIBA MIRA,Introduction to Cybersecurity,"This course provides an introduction to cybersecurity in the automotive context, examples of the automotive threat environment and an awareness of the new UNECE Regulation 155 and the emerging international standard ISO/SAE 21434.",See website,GBP,1 day,,Virtual or face-to-face (depending on pandemic restrictions),https://www.horiba-mira.com/horiba-mira-training/courses/,,
Karamba Security Inc,Security Training Series for Engineers & Management,"A sample training curriculum: 

Module 1: Think Like A Hacker: Cyber Threats & Mitigations
Module 2: Automotive Standards (UNECE-WP.29, ISO 21434)
Module 3: Threat Analysis & Risk Assessment (TARA)
Module 4: Secure Coding
Module 5: Static Analysis & Code Review
Module 6: Fuzzing & Pen Testing
Optional 
Module 7: Hacking hands-on
",,USD,Up to 7 sessions of 2-3 hours each. With optional exam and certification. One of the modules includes hands-on hacking of an ECU.,,Virtual / Online,www.karambasecurity.com/,,
Kugler Maag,Automotive Cybersecurity-Trainings,,,,,,,https://www.kuglermaag.com/training-automotive-security-iso-21434-unece/,,
Kuglermaag,Automotive Security Kombischulung,,"1,620€",EUR,3 Days,,Online / Stuttgart,Link,,
Kuglermaag,Automotive Securiy Crash Kurs,,"1,170€",EUR,2 Days,,Online / Stuttgart,Link,,
Kuglermaag,Security Engineer (Automotive),,"1,890€",EUR,3 Days,,Online / Stuttgart,Link,,
Mirai Security,ISO 21434 Training: Cyber Security for Complex Automotive Systems,"This intensive 3-day course will guide attendees on implementing the ISO 21434 Cybersecurity Standard for Road Vehicles in an engineering organization. Through live lecture-style presentations from industry experts, Q&A and exercises, attendees will gain valuable insights about this new standard and the overall challenges of managing cybersecurity risk for complex real-time embedded systems.",800,USD,3 Days,,,https://www.miraisecurity.com/store/iso-21434-1,,
Omnex,SAE J3061 and ISO 21434:2020 Automotive Cybersecurity Certification,,,,,,,,,
Raelize,BootPwn: Breaking Secure Boot by Experience,"Secure Boot is fundamental for assuring the authenticity of the Trusted Code Base (TCB) of secure devices. Recent attacks on Secure Boot against a wide variety of devices such as video game consoles and mobile phones, are a clear indicator that Secure Boot vulnerabilities are widespread.

Are you interested in learning and experiencing what it takes to break Secure Boot leveraging more than just software vulnerabilities?

Then, this is THE experience for you!

The BootPwn experience puts you in the attacker's seat in order to explore the attack surface of Secure Boot while identifying and exploiting interesting vulnerabilities applicable to real-world devices. The experience itself is exercise-driven and gamified using an exciting jeopardy-style Capture-The-Flag (CTF).

Using an emulated device, which is based on publicly available code bases, you will be challenged to identify and exploit interesting vulnerabilities specific to Secure Boot. Even though the emulated device implements the ARMv8 (AArch64) architecture, many exercises are at the same time architecture independent.

Do no worry if your reverse engineering or exploiting skills are rusty or non-existing. You do not need to be an software security expert nor do we aim to make you one. Nevertheless, most exercises can be completed in various ways which are interesting for experiences attendees as well. Moreover, hardware attacks like Fault Injection, which are a very relevant threat for Secure Boot, are discussed and simulated where possible.",2420,EUR,4 days of 4 hours,,Virtual / Online,https://raelize.com/bootpwn/,,
